epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1752.71,1.73807,1.62565,1.43418,0.63483,0.63743,0.65232,0.27931,1.95757,1.57615,1.72591,0.000663025,0.000663025,0.000663025
43,1794.11,1.71774,1.59034,1.4184,0.65078,0.65878,0.67079,0.29721,1.94841,1.50944,1.68716,0.000657025,0.000657025,0.000657025
44,1835.8,1.71874,1.57103,1.40827,0.68959,0.65961,0.69203,0.30714,1.92267,1.49382,1.66993,0.000651026,0.000651026,0.000651026
45,1878.02,1.72769,1.57125,1.41877,0.70858,0.63006,0.68061,0.29278,1.97328,1.51261,1.73857,0.000645026,0.000645026,0.000645026
46,1920.14,1.71819,1.5765,1.42924,0.67348,0.62415,0.65932,0.29951,1.91652,1.51156,1.68338,0.000639027,0.000639027,0.000639027
47,1961.54,1.69612,1.54789,1.41102,0.70252,0.67921,0.68972,0.31181,1.891,1.53441,1.66953,0.000633028,0.000633028,0.000633028
48,2003.09,1.70833,1.5407,1.41271,0.66158,0.64699,0.66448,0.28953,1.92078,1.52983,1.66884,0.000627028,0.000627028,0.000627028
49,2044.34,1.72118,1.53807,1.40859,0.66836,0.63664,0.66765,0.29435,1.93303,1.54218,1.69894,0.000621029,0.000621029,0.000621029
50,2085.89,1.7018,1.50678,1.39519,0.69874,0.67034,0.70554,0.31059,1.90942,1.50097,1.69299,0.000615029,0.000615029,0.000615029
51,2127.74,1.69303,1.51402,1.41411,0.67443,0.66465,0.69741,0.31258,1.96161,1.48182,1.73783,0.00060903,0.00060903,0.00060903
52,2169.22,1.67293,1.5053,1.40922,0.6719,0.64163,0.66359,0.29732,1.89929,1.53435,1.67459,0.000603031,0.000603031,0.000603031
53,2210.82,1.69245,1.5125,1.41354,0.68386,0.66247,0.68815,0.32041,1.90059,1.47972,1.6802,0.000597031,0.000597031,0.000597031
54,2252.61,1.67469,1.50104,1.39931,0.64735,0.64299,0.65721,0.29129,1.93287,1.5242,1.71393,0.000591032,0.000591032,0.000591032
55,2295.44,1.67773,1.4661,1.38444,0.65311,0.66335,0.6766,0.30953,1.93172,1.46382,1.73718,0.000585032,0.000585032,0.000585032
56,2337.88,1.66582,1.47067,1.37879,0.70765,0.68911,0.72285,0.32577,1.8895,1.44815,1.67076,0.000579033,0.000579033,0.000579033
57,2379.73,1.68723,1.47216,1.37782,0.68257,0.66043,0.69166,0.30009,1.94057,1.44865,1.74621,0.000573034,0.000573034,0.000573034
58,2421.39,1.65641,1.47421,1.39041,0.64065,0.66801,0.67719,0.30461,1.89246,1.47086,1.68768,0.000567034,0.000567034,0.000567034
59,2463.15,1.66003,1.42318,1.37244,0.67787,0.66796,0.68372,0.31245,1.90154,1.4222,1.71114,0.000561035,0.000561035,0.000561035
60,2505.19,1.65176,1.43572,1.38494,0.65062,0.66037,0.68649,0.31071,1.90355,1.43636,1.70301,0.000555035,0.000555035,0.000555035
61,2546.98,1.65468,1.45559,1.3852,0.64768,0.63265,0.67495,0.31395,1.9002,1.48826,1.67002,0.000549036,0.000549036,0.000549036
62,2589.28,1.62866,1.44157,1.37625,0.70515,0.63806,0.68169,0.3118,1.87229,1.45799,1.66263,0.000543037,0.000543037,0.000543037
63,2630.35,1.63869,1.41463,1.36921,0.71471,0.6392,0.70211,0.31973,1.93372,1.49586,1.74344,0.000537037,0.000537037,0.000537037
64,2671.26,1.62896,1.38755,1.36399,0.72523,0.69413,0.71774,0.32136,1.90966,1.42118,1.71089,0.000531038,0.000531038,0.000531038
65,2712.59,1.64333,1.3775,1.35313,0.72972,0.65997,0.71749,0.32616,1.89011,1.43001,1.69759,0.000525038,0.000525038,0.000525038
66,2754.23,1.64688,1.39677,1.37216,0.69292,0.68698,0.71121,0.31894,1.87585,1.3998,1.67381,0.000519039,0.000519039,0.000519039
67,2795.41,1.63298,1.38864,1.37095,0.7223,0.70609,0.72948,0.32929,1.89165,1.43628,1.6973,0.00051304,0.00051304,0.00051304
68,2836.49,1.61581,1.36778,1.35476,0.67477,0.70134,0.72172,0.3224,1.89111,1.39323,1.68862,0.00050704,0.00050704,0.00050704
69,2877.45,1.60742,1.38149,1.35019,0.70577,0.67239,0.70893,0.33162,1.86075,1.41199,1.66951,0.000501041,0.000501041,0.000501041
70,2918.68,1.59841,1.33599,1.35454,0.71129,0.68255,0.71011,0.32561,1.89206,1.39434,1.68934,0.000495041,0.000495041,0.000495041
71,2960.33,1.59879,1.33876,1.35439,0.71049,0.67467,0.70328,0.31538,1.93245,1.47098,1.72728,0.000489042,0.000489042,0.000489042
72,3001.59,1.5984,1.3355,1.33774,0.72095,0.69127,0.73001,0.32103,1.89416,1.38391,1.71396,0.000483043,0.000483043,0.000483043
73,3042.43,1.5948,1.34165,1.35008,0.69969,0.71992,0.72715,0.32944,1.88419,1.45131,1.70083,0.000477043,0.000477043,0.000477043
74,3083.37,1.61112,1.33339,1.33362,0.71917,0.6731,0.713,0.33138,1.88898,1.44613,1.68719,0.000471044,0.000471044,0.000471044
75,3124.67,1.61061,1.30161,1.32758,0.7321,0.72374,0.75081,0.34514,1.91931,1.31527,1.71922,0.000465044,0.000465044,0.000465044
76,3166.03,1.56789,1.26427,1.318,0.74145,0.71785,0.74447,0.34009,1.911,1.3813,1.7248,0.000459045,0.000459045,0.000459045
77,3207.48,1.58327,1.27824,1.33927,0.75027,0.70983,0.73581,0.3371,1.8983,1.36564,1.7161,0.000453046,0.000453046,0.000453046
78,3248.56,1.58506,1.27408,1.32296,0.72205,0.70138,0.72307,0.33279,1.90211,1.35399,1.70381,0.000447046,0.000447046,0.000447046
79,3289.72,1.56764,1.27773,1.32538,0.71047,0.71714,0.73521,0.33643,1.90626,1.36006,1.72991,0.000441047,0.000441047,0.000441047
80,3330.54,1.56062,1.27003,1.31583,0.74211,0.70763,0.73823,0.33021,1.90849,1.36447,1.73058,0.000435047,0.000435047,0.000435047
81,3371.58,1.55513,1.24656,1.31363,0.73023,0.71931,0.72764,0.33293,1.91052,1.3554,1.73217,0.000429048,0.000429048,0.000429048
82,3412.52,1.58207,1.25863,1.32851,0.74628,0.7198,0.74414,0.33878,1.90612,1.35017,1.715,0.000423049,0.000423049,0.000423049
83,3454.25,1.56055,1.25157,1.32333,0.76169,0.71577,0.74924,0.35304,1.89053,1.32129,1.72528,0.000417049,0.000417049,0.000417049
84,3495.3,1.54505,1.27532,1.32337,0.73865,0.70484,0.7346,0.33671,1.86515,1.34816,1.69988,0.00041105,0.00041105,0.00041105
85,3536.25,1.54251,1.22858,1.30438,0.73932,0.71103,0.73583,0.34003,1.87294,1.34012,1.70359,0.00040505,0.00040505,0.00040505
86,3577.32,1.54654,1.21429,1.29713,0.75323,0.71491,0.7452,0.35188,1.87121,1.30812,1.70436,0.000399051,0.000399051,0.000399051
87,3618.22,1.51936,1.19842,1.3076,0.74572,0.73818,0.74809,0.35646,1.89626,1.2855,1.75131,0.000393052,0.000393052,0.000393052
88,3659.92,1.5342,1.18821,1.29115,0.7426,0.74139,0.75254,0.35166,1.85322,1.32565,1.67175,0.000387052,0.000387052,0.000387052
89,3701.22,1.53503,1.19828,1.31342,0.75878,0.724,0.74854,0.36246,1.89568,1.31612,1.72632,0.000381053,0.000381053,0.000381053
90,3742.24,1.53341,1.18654,1.29697,0.74853,0.73067,0.75768,0.36073,1.86637,1.31718,1.68791,0.000375053,0.000375053,0.000375053
91,3783.45,1.52777,1.1862,1.30622,0.7621,0.73826,0.74723,0.35699,1.88081,1.28109,1.70737,0.000369054,0.000369054,0.000369054
92,3824.37,1.53567,1.19382,1.29983,0.74829,0.73439,0.73972,0.35566,1.85123,1.3059,1.69258,0.000363055,0.000363055,0.000363055
93,3865.76,1.52488,1.17963,1.28472,0.7532,0.7277,0.74183,0.35677,1.87372,1.29993,1.71856,0.000357055,0.000357055,0.000357055
94,3907.29,1.5001,1.15827,1.28431,0.74124,0.72706,0.74537,0.34993,1.8853,1.30246,1.74226,0.000351056,0.000351056,0.000351056
95,3948.88,1.51651,1.14699,1.27438,0.73791,0.73699,0.74505,0.36127,1.86008,1.29224,1.71673,0.000345056,0.000345056,0.000345056
96,3990.09,1.49265,1.14871,1.28249,0.77553,0.7088,0.74227,0.35705,1.87477,1.30803,1.71682,0.000339057,0.000339057,0.000339057
97,4031.62,1.49743,1.13651,1.27819,0.73578,0.73321,0.74539,0.35229,1.89766,1.29057,1.73988,0.000333058,0.000333058,0.000333058
98,4072.91,1.49701,1.13419,1.27691,0.73403,0.74076,0.74286,0.36569,1.87733,1.26427,1.73426,0.000327058,0.000327058,0.000327058
99,4114.25,1.49761,1.15053,1.28762,0.75477,0.72759,0.75057,0.3703,1.87591,1.26834,1.70992,0.000321059,0.000321059,0.000321059
